premise	hypo	label
No matter what path firms take to offer more help, Indianapolis still has a long way to go to meet the need, Floreancig said.	Indianapolis hasn't met the need yet, since 700 people are underserved.	None
In response to an increasingly competitive job market, federal agencies will need the tools and flexibility to attract, hire, retain, and reward topflight talent.	Federal agencies are keen when it comes to keeping the best people on the job.	None
Maccabi Telavive soma segundo desaire seguido, depois de perder com o FC Porto, para a Champions.	O Maccabi Telavive soma 16 pontos, em igualdade com o Hapoel Beer Sheva.	None
Rihanna escolhe look transparente para jantar em churrascaria na Zona Sul.	Rihanna usa look transparente para jantar e tropeça em seu próprio vestido.	None
State justice communities begin to examine how they set priorities given changing demographics (census), new technology, emerging legal needs, commonalties among diverse communities, and severely marginalized client populations living within in our service areas.	State justice communities promise new systems to deal with changing demographics.	None
Drewes and a friend were playing a game of "ding-dong-ditch" -- ringing doorbells and running away -- in the Woodbury neighborhood in suburban Boca Raton.	Drewes and his friend were pulling a mischievous, late-night game of "ding-dong-ditch" knocking on doors or ringing doorbells and running in the Woodbury neighborhood in suburban Boca Raton.	Paraphrase
The researchers are selected through peer review procedures.	The researchers are selected through Skype.	None
These plans would offer preventive health coverage as well as protection against catastrophic health-care expenses, neither of which is currently available under the government-run program.	The latter would offer preventive health coverage as well as protection against unexpected healthcare expenses, neither of which is currently available under Medicare.	Paraphrase
The final rule did not substantially modify the requirements for the controlled business disclosure and, therefore, HUD did not submit the disclosure requirements to OMB in connection with this rulemaking.	There are several rules that aimed to modify the requirements for business disclosure.	None
Together, the eight states also would provide reasonable geographic representativeness, as well as industrialized versus more rural spreads.	Together, the eight states would provide a great overall sample of the population in those states.	None
Enquanto o Milan visita a Udinese, o Palermo recebe o Sassuolo em seu estádio, Renzo Barbera.	O Palermo vai receber o Sassuolo no seu estádio, Renzo Barbera.	Entailment
Isto significa que vendeu cerca de 305,000 unidades de consolas Xbox One em Outubro de 2015.	A partir de hoje a Xbox One é uma consola nova.	None
Interlocking boards are also fairly common.	Interlocking boards are in high demand.	None
A tradition of Labor Day racing was established long ago in the Inland Empire.	There is a tradition of Labor Day racing in the Inland Valley.	Paraphrase
"We are starting the epidemic with more cases and more areas affected than last year.	"It indicates we are starting the epidemic with more cases than last year," Gerberding said.	Paraphrase
Management is responsible for establishing effective controls to ensure compliance with laws and regulations, as well as other compliance requirements such as provisions of contracts or grant agreements.	Management has years of experience handling effective controls.	None
Screening for pregnancy risk-drinking.	Pregnant women need to be screened each month for risk-drinking.	None
It turns out the manager of the seniors complex, its attorneys and government overseers were unaware, too.	Several people were not aware of the situation.	Entailment
While the NEPDG did provide some cost-related documents to GAO, most of these documents were not useful or self-explanatory.	NEPDG provided all cost-related documents to GAO.	None
Tsarnaev foi encontrado escondido em um barco em um jardim após a morte de seu irmão.	Dzhokhar Tsarnaev foi formalmente condenado à morte por um juiz norte-americano.	None
Detection of acute alcohol intoxication and chronic alcohol dependence by trauma center staff.	The staff at the trauma center are trained to detect intoxication.	None
Aos 18 anos, mudou-se para Lisboa, trabalhou no atual Turim Suisso Atlântico Hotel e, depois, no Hotel Império.	Trabalha primeiro no Turim Atlântico Hotel, para ir mais tarde para o Hotel Império.	Entailment
Owners, the government included, traditionally have maintained some level of internal facility planning and design oversight capability to ensure that new facilities acceptably balance the factors of cost, schedule, quality, and performance.	Owners plan to keep the facility under budget.	Entailment
In making these decisions, Congress should consider the criteria presented earlier in my testimony, especially those related to agency transitions, such as mission relevancy, similar goals and objectives, leveraging effectiveness, and creating gains through consolidation.	I presented testimony before Congress regarding business practices.	Entailment
When this occurs, especially in a strong control environment, denial is no longer an option, and managers have the information, as well as the incentive, to begin addressing improper payments.	Deducting improper payouts from manager's salaries causes all payouts to fall.	None
Reliability growth testing provides visibility over how reliability is improving and uncovers design problems so fixes can be incorporated before production begins.	Destruction testing is one popular method of reliability testing.	None
Shares in Berkeley-based Xoma lost 77 cents, or 14 percent, to close at $4.72 each in trading on the Nasdaq Stock Market.	The share price of Berkeley-based Xoma lost 73 cents a share, or 13 percent, to $4.76 in afternoon trading on the Nasdaq Stock Market.	Paraphrase
Most gains and losses from transferring assets within and between sectors wash out at the national level and may not represent newly available resources for the economy as a whole.	Transferring assets may result in gains or losses .	Entailment
6 This approach makes CAMx well suited to estimate effects based on a range of ozone averaging times, an important capability for benefits assessment applications.	Estimating effects based on a range of ozone averaging times is important for benefits assessment applications.	Entailment
Don't lie on the floor - reach for the ceiling!	Doing your best is what most people would rather see instead of giving up.	None
Chiron already has nearly 20 percent acceptances from PowderJect's shareholders.	Chiron has acceptances from holders of nearly 20 percent of PowderJect shares.	Paraphrase
National saving data are on a NIPA basis.	NIPA has been found to be superior to other methodologies.	None
Verificou-se ainda que a maioria dos alunos fumadores (51,9%) refere ter familiares na sua residência que fumam.	A maioria dos alunos fumadores dizem que familiares fumam em casa.	Entailment
E pode chegar a R$ 63.535 completo e com motor 1.6 e câmbio automático.	Já a versão Premium, com motor 1.6, só tem câmbio automático e custa R$ 59.445.	None
Unilever Bestfoods said Wednesday it would strip trans fats from its I Can't Believe It's Not Butter spreads by the middle of next year.	Unilever Bestfoods said its "I Can't Believe It's Not Butter' margarine spreads will be free of trans fat by next year.	Paraphrase
Ele disse que o efeito prático da visita dos governadores é "nenhum".	Pezão disse acreditar que há apoio mesmo entre os governadores de oposição.	None
But it's like trying to tell a stranger about rock 'n' roll.	Explaining the principles of rocket mechanics to an uneducated individual was difficult.	None
O Eurosport garantiu os direitos de transmissão da Fórmula 1 para Portugal, a partir do próximo ano até 2018.	O Eurosport adquiriu os direitos de transmissão da Fórmula 1 para Portugal até 2018.	Entailment
Heald said the agency can try to find mental health services, school services and others.	There are a lot of health services around.	None
It will also unveil a version of its Windows Server 2003 operating system tuned specifically for storage devices.	It also unveiled an update to its Windows Server 2003 operating system, which is tuned specifically for storage devices.	Paraphrase
Judge's Domestic Violence Ruling Creates an Outcry in Kentucky	Kentucky residents are saying that the judge was biased in his Domestic Violence ruling.	None
Agencies or programs that balance multiple missions present the Congress with significant issues that must be evaluated in order to determine how best to achieve all of the goals and objectives for which the entity was created.	Congress must evaluate the issues of the agencies or programs that have a multitude of missions.	Entailment
The agency offers forms for renters to try to get their security deposit returned, and forms for people who want to get divorced or modify their divorce decree.	The agency forces slumlords to give their deposits back.	None
The CIO Council was established in 1996.	In March of 1996 the CIO Council was established.	None
The Bureau of Labor Statistics (BLS) publishes an official measure of output per unit of combined labor and capital inputs-multifactor productivity.	More labor output directly correlates to higher productivity rates.	None
In that event, FASAB staff will provide written copies of the request to the Board members.	The Board members would be receiving written copies of the request from FASAB members.	Entailment
Although GAO may give an agency up to 30 calendar days to comment, GAO may attempt to obtain comments in shorter time frames, depending on the product timing needs of the requester and the complexity of the issues involved.	GAO can give an agency up to 30 days, although it has been known to give less time.	Entailment
O tiroteio terá acontecido perto da escola básica da Quinta de Mós, em Fetais, durante a manhã.	A troca de tiros ocorreu no bairro Quinta das Mós, em Fetais.	Entailment
O doutor António Costa terá ouvido isto.	Já sabem que eu tenho sempre uma palavrinha para o doutor António Costa na minha intervenção inicial.	None
A 1ª Primavera dos Museus ocorreu em 2007, com 300 museus inscritos e 874 eventos.	No país, 809 instituições participarão da Primavera dos Museus em 2015.	None
States will also be requiring utilities to comply with Best Available Retrofit Technology (BART) programs (either source-specific standards or a trading program) to meet requirements to reduce regional haze.	The BART standards were adopted recently in an effort to prevent the regional haze problem from growing larger.	None
Higher federal saving-to the extent that the increased government saving is not offset by reduced private saving-would increase national saving and tend to improve the nation's current account balance, although typically not on a dollar-for-dollar basis.	When there's more saving done on a federal level, the public are more confident if they don't end up saving.	None
Meta-analysis of randomized control trials addressing brief interventions in heavy alcohol drinkers.	Brief interventions done with heavy drinkers of alcohol were being analyzed.	Entailment
But its most popular comedy, Friends, is going into its last season.	But its most popular comedy, Friends, will sign off after a two-hour finale next May.	Paraphrase
The emissions above the cap are shown to the right of each vertical dotted line and between the scenario emissions and the dotted horizontal line.	There is an emissions cap.	Entailment
À época, havia 6.444 presos da unidade, que tem capacidade para 1.514 internos.	De acordo com Delgado, a instituição tem 7.000 internos em um espaço para menos de 2.000 presos.	None
Most people saving through taxpreferred retirement accounts are middle- to upper-income.	Most people saving through tax preferred retirement accounts achieve middle income or upper-income levels.	Entailment
Much of the screening literature is isolated from intervention.	Much of the screening literature is isolated from intervention.	Entailment
The ambassador said it was up to the Americans to press the Iraqis to make the invitation, which he said the United States appears unwilling to do.	The ambassador said it was up to the Americans to press the Iraqi council to make the invitation - a move he said the United States appears unwilling to make.	Paraphrase
The Vice President has also expressed concern regarding certain requests for his personal schedule.	The VP is worried that people are going to get his personal schedule.	Entailment
Our realignment is a critical component in improving our communications and outreach with the Congress and ensuring that we continue to maintain and foster ways to help the Congress meet its responsibilities.	Congress is doing a poor job at its responsibilities, which means we need to work harder to assist.	None
This program reduced more pollution in the last decade than all other Clean Air Act command-and-control programs combined during the same period.	This program lowered pollution levels more than all the other Clean Air Act programs in 2017.	None
Lico was never seeking this, but the president recognized a quality in him.	Lico had worked hard every day of his life in order to best help people.	None
Its second-quarter earnings per share of 22 cents was slightly better than analysts' estimates of 19 cents a share and more than double its prediction in April.	But an earnings per share of 22 cents was slightly better than analysts' estimates of 19 cents a share and more than double what Ford had predicted in April.	Paraphrase
Although all These individuals have valuable experience and perspective to bring to the table, they are not well positioned to address all of the key roles and responsibilities of an independent board.	They all had experience in the matter.	Entailment
Pelé está internado no hospital Albert Einstein em São Paulo.	O Hospital Albert Einstein confirmou a internação, mas não forneceu mais detalhes.	None
The Department promulgated this rule under the notice and comment procedures of 5 U.S.C.	The department implemented the rule without a committee vote.	None
In Maine, much of the groundwork for comprehensive state planning had already been laid when the Corporation issued its first program letter on the subject in 1995.	The Corporation issues program letters that dictate state planning.	None
LSC specifically announced its intent to put resources into the creation of comprehensive, coordinated, and integrated state legal services delivery systems in Program Letters 98-1 and 98-6.	The LSC is the Legal Services for Children advocate group.	None
Para o próximo ano, a previsão ficou em déficit de US$ 76,35 bilhões.	E a expectativa para 2016 ficou em US$ 65 bilhões.	None
Na quarta-feira (7) será anunciado o Nobel de Química e um dia depois o prêmio de Literatura.	Nesta quarta-feira (7) será divulgado o Prêmio Nobel de Química.	Entailment
Ann Mahoney said the recommendation should be worded to focus on systems as well as individuals.	The recommendation was to improve the entire process.	None
HCFA also determined that the rule could have a significant impact on other classes of hospitals as well.	Financially, it will cost a lot for hospitals to comply with the rule.	None
"I will support a constitutional amendment which would honor marriage between a man and a woman, codify that," he said.	"If necessary, I will support a constitutional amendment which would honour marriage between a man and a woman, codify that."	Paraphrase
Leading organizations recognize the myriad forces driving their IT capabilities.	The IT capabilities of leading organization are being driven by a variety of factors.	Entailment
Most of the drinking reduction occurred among the patients with mild to moderate alcohol problems and not in the heaviest drinking subgroup.	Most of the reduction in drinking was in the patients who didn't drink the most.	Entailment
But the institute says the department "woefully underestimates" the changes that would occur under the proposal.	But the institute says the department ‘‘woefully underestimates’’ the changes that would occur if the proposal is implemented.	Paraphrase
"This is a cloud hanging over their credibility, their word," said Hagel.	"This is a cloud hanging over their credibility, their word," Hagel said on ABC's "This Week."	Paraphrase
a plausible increase in the penetration of computer ownership by households over the course of a single year.	Year over year increases in computer ownership are high.	None
Elza dos Santos estava internada em um hospital particular de Belém.	Elza estava internada em hospital da cidade em tratamento contra um câncer.	None
Figure 4 and Table 6 can be used to estimate likely profit and revenue losses to cream skimmers and Figure 3 to estimate the cost impact of volume losses.	Figure 7 is a drawing of the Post Master General on a horse.	None
Table 6-4 was derived considering that 14 GWe of SCRs have already been installed for the NOX SIP Call, so the remaining 71 GWe of SCR and 10 GWe of scrubber installations were considered for 2005.	Majority of the scrubber installations were already completed.	None
A total of 32 U.S. soldiers have been killed in attacks since May 1, when President Bush declared the end of major hostilities in Iraq.	Thirty-two U.S. soldiers have been killed in Iraq since President Bush declared major combat over on May 1.	Paraphrase
O Porto Canal distancia-se por completo das declarações proferidas pelo Sr. Dr. Pedro Arroja.	Francisco Louçã reagiu ao comentário de Pedro Arroja no Porto Canal.	None
O Comité de Ética da FIFA está desde segunda-feira na Suiça para investigar os casos de Joseph Blatter e Michel Platini.	Michel Platini foi ouvido na qualidade de testemunha, no âmbito de uma investigação à FIFA.	None
O argumento de Tatiane para conseguir a nulidade do primeiro casamento é a imaturidade dela aos 16 anos.	Foi aí que Tatiane decidiu entrar com o pedido de nulidade do primeiro casamento.	None
Also in 1996, other new requirements were adopted governing what legal services programs can do and whom they can represent.	New requirements now prevent legal services programs from helping many of the people it used to represent.	None
Two women lost their battle in a British court yesterday to save their frozen embryos and use them to have children without the consent of their former partners.	Two British women lost a desperate court battle on Wednesday to have babies using frozen embryos their former partners want destroyed.	Paraphrase
Oxidants and Asthmatics in Los  A Benefits Analysis--Executive Summary.	Executive summary of oxidants and asthmatics by the doctor.	None
They did not see the need for the separate category of RSSI.	They didn't see the reason to make a new category for the financial statements.	None
"The question that has to be penetrated is, how did 38 visits over 2 years not rescue these children from slow torture and starvation?"	"The question that has to be penetrated is how did 38 visits over two years not rescue these children from slow torture and starvation," Ryan said in an interview.	Paraphrase
A participação da Força Expedicionária Brasileira na 2ª Guerra Mundial completou 70 anos em 2015.	Eles ficaram conhecidos como os Pracinhas da Força Expedicionária Brasileira.	None
The values of the slope (rate of increase in total costs) and intercept (institutional costs) are directly related to the population of the country.	The country's population can easily be calculated.	None
Legal services programs in Canada are about the same age as ours, and serve a similar client community.	Canada has better legal services than we so.	None
O comandante dos Gunners, Arsène Wenger, não se intimidou para falar da 'pressão' que estaria sofrendo seu rival José Mourinho.	José Mourinho e Arsène Wenger costumam protagonizar grandes momentos de troca de palavras e insinuações.	None
Four people were found shot to death along a highway Tuesday morning and three others were wounded in a possible dispute involving immigrant smuggling, officials said.	Four people were found shot to death along a highway Tuesday and four others were wounded in a dispute that apparently involved immigrant smugglers, officials said.	Paraphrase
Por isso que suas coletivas estão entre as melhores da história recente do futebol brasileiro.	O próprio treinador admitiu isso em entrevista coletiva recente.	None
Acabaria por falecer no passado dia 8 de janeiro, poucos antes de chegar aos três anos de idade.	Morreu a 8 de Janeiro deste ano, pouco antes de completar os três anos de idade.	Paraphrase
"Please, keep doing your homework," said Bavelier, the mother of three.	"Please, keep doing your homework," said Bavelier, the mother of 6-year-old twins and a 2-year old.	Paraphrase
It differs from the contribution to SMI primarily in that it is paid by another program entity (the CCC) rather than directly by the General Fund.	The contribution to SMI was easier to record from an accounting standpoint.	None
Route time is the time it would take a carrier to walk or drive the route, passing, but not accessing, any delivery point.	Route time is the time it would take a carrier to drive a route but not stop.	Entailment
This plan was intended to better serve customers by helping improve their knowledge and understanding of the tax return process.	The Government magazine rewards the top agents with extra vacation time.	None
Resta esperar que Ben Affleck e Jennifer Garner se pronunciem sobre o assunto.	Jennifer Garner e Bem Affleck deverão reconciliar-se.	None
However, the responses reflected a clear consensus for reporting expenses, with little or no support for reporting outlays only, and a minority preferring to report both expenses and outlays.	The responses showed agreement for how expenses are reported to the boar.	None
Nos seis primeiros meses do ano, as autoridades alemãs receberam quase 180 mil pedidos de asilo.	A Alemanha espera receber 450 mil pedidos de asilo até o final do ano.	None
Long-term studies examine the potential relationship between longer-term and shorter-term use.	Studies examined the relationship between long and short term use.	Entailment
The Food Safety and Inspection Service (FSIS) prepared a cost-benefit analysis which concludes that the costs associated with the rule are far outweighed by the public health benefits to be derived.	A cost benefit analysis was done by the food safety and inspection service.	Entailment
The rules were determined to be economically significant under Executive Order 12866 requiring review by the Office of Management and Budget, Office of Regulatory Affairs (OIRA).	The Office of Management and Budget, Office of Regulatory Affairs must complete their review within 60 days.	None
Most federal performance management systems fail to achieve these objectives.	Federal performance management systems are very good at achieving different objectives.	None
LSC and LSNJ have both moved to dismiss the case.	Both firms lawyers unanimously agreed to dismiss the case.	None
O Pages é cada vez mais usado para os utilizadores descobrirem um pouco mais sobre negócios.	Cada vez mais o Facebook, por exemplo, é usado para interagir com marcas e produtos.	None
A exibição acontecerá durante o Festival da Mulher Afro Latino-Americana e Caribenha (Latinidades).	O festival celebra o Dia da Mulher Negra Latino-Americana e Caribenha em Brasília.	None
This drop in payment mail volume accounts for 69 percent of the decline in the volume of HH-to-NHH sector, amounted to 3.6 billion pieces between 1990 and 1997 (see Table 1).	In 2001, the payment mail volume increased.	None
Over the past quarter century, LSC has helped millions of low-income citizens solve important, sometimes life-threatening, legal problems.	LSC has helped low income citizens with legal issues.	Entailment
Actions taken to correct the problem must be reported.	Actions taken to fix the problem have to be reported.	Entailment
These would be special cases of the more general case analyzed here.	This analysis is more general than these special cases.	Entailment
Many injured ED patients are screened with a BAC, which can help identify intoxication.	A BAC is the best screening method for patients.	None
"Today, we are trying to convey this problem to Russian President Vladimir Putin and US President George W Bush."	"Today, we are trying to convey this problem to Russian President Vladimir Putin (news - web sites) and President Bush (news - web sites)."	Paraphrase
Recorde-se o que se passou com o chumbo do primeiro governo de Cavaco Silva.	A convicção na PàF é de que Passos (e Portas) deverá exigir formar governo a Cavaco Silva.	None
However, OMB staff provided information during and at the conclusion of the review that was incorporated where appropriate.	Information provided by the OMB staff was incorporated where appropriate.	Entailment
Francisco aterrou nos Estados Unidos terça-feira, vindo de Cuba, onde deixou mensagens a apelar a revolução da reconciliação.	Francisco deixou a Cuba e seguiu para os Estados Unidos na terça-feira.	Entailment
Comments are solicited from the general public, other federal agencies, and OMB until October 28, 1996.	They solicited comments from the public.	Entailment
To one person, a case study involves looking at individual people.	There have been thirty case studies conducted by them.	None
In 2002, spending on inpatient hospital care grew by 6.8 percent and the costs of outpatient hospital care rose by 14.6 percent, the study.	In 2002, spending on inpatient hospital care grew by 6.8 percent and that on outpatient hospital care by 14.6 percent.	Paraphrase
Since then, the central group has grown to include 12 individuals who manage the security of the company's (1) main network, (2) decentralized computer operations, and	The security of the company has increased tremendously.	None
The FFC study concludes that, in the end, effective review of designs maximizes the probability that a mission or operational requirement will be successfully supported by a facility that was conceived, designed, constructed, and placed into operation efficiently and effectively.	If a design is reviewed, it is more effective.	Entailment
Together, these reports are intended to suggest frameworks for Congress and federal agencies to use in implementing GPRA and related results-oriented management initiatives.	These frameworks are very popular with senior executives but disliked by lower management.	None
Over the long term, many other nations currently financing investment in the United States will themselves be confronted with aging populations and declining national saving.	Many nations are investing billions in the US.	None
Reductions in its resource levels, combined with increases and shifts in its workload have in recent years prompted GAO to take strong measures to more efficiently accomplish its mission.	The GAO eliminated lunch breaks for all employees in an attempt to increase production.	None
Since case study designs center on one or a few cases and lack the controls usually thought necessary to an understanding of causal relationships, knowledge that	Case study designs usually lack necessary controls.	Entailment
Congress discovered through experience, however, that these restrictions did not exhaust the politically controversial uses to which LSC funds could be put.	LSC funds can be used for politically controversial things.	Entailment
Such access generally includes the ability to make and retain copies of the evidence.	Access should only be granted to someone with a valid state issued photo ID.	None
This policy is important for another reason.	There is another reason for why this policy is important.	Entailment
Mr. Soros branded Mr. Snow's policy shift a "mistake."	Soros criticised Snow's policy shift as a "mistake".	Paraphrase
Identical wording was introduced in the Senate last week by three Republicans, Wayne Allard (Colo.), Jeff Sessions (Ala.) and Sam Brownback (Kan.).	Identical wording was introduced in the Senate last week by three Republicans: Wayne Allard of Colorado, Jeff Sessions of Alabama and Sam Brownback of Kansas.	Paraphrase
Françoise Olcay acrescentou que as autoridades turcas também estão envolvidas.	E acrescenta ainda que as autoridades turcas também estão envolvidas neste processo.	Entailment
The FDA solicited comments on the above information collections including among other information, the necessity of the collection, the accuracy of the estimated burden and ways to enhance the information collection.	The FDA got comments on the information.	Entailment
The Commission estimates these dates will be later than 60 days after the Federal Register publication.	The Commission does not know the exact number of days the dates will be late by.	Entailment
"The United States welcomes a greater NATO role in Iraq's stabilization," Mr. Powell told his colleagues in a speech today.	"The United States welcomes a greater NATO role in Iraq's stabilization," Mr. Powell said in a speech to fellow NATO ministers.	Paraphrase
21 This analysis is based on the data set of 13,212 usable residential routes22 and 476,953 stops.	80 percent of the usable residential routes go near schools and major shopping areas.	None
To their credit, these groups have been a model of cooperation and innovation to improve efficiencies in the delivery of legal services in our state.	The groups are a model and have helped to improve upon the legal services.	Entailment
Dr Mark McClean, Jonathan's family doctor, said if the drug had been administered earlier Jonathan would have retained more of his brain functions.	Dr Mark McClean, the family's GP, said had the drug been administered to Jonathan earlier, he would have retained more of his brain function.	Paraphrase
Quanto ao arroz, os cidadãos que trabalham na capital portuguesa precisam de oito minutos para comprarem um quilo.	Em Genebra (Suíça) são necessários apenas quatro minutos de trabalho para se comprar um quilo de arroz.	None
The CIOs themselves must meet the challenges of building credible organizations, and developing and organizing information management capabilities to meet agency mission needs.	The agency mission has many requirements left unmet.	None
"We have found the smoking gun," board member Scott Hubbard said.	"We have found the smoking gun," said Hubbard, director of NASA's Ames Research Center in California.	Paraphrase
She estimated it would take three months and would require cancellation of a sub-audit of the Department of Environmental Quality.	She said it would take an estimated three months to conduct and require the cancellation of a sub-audit of the Department of Environmental Quality.	Paraphrase
In addition, some employees who now travel on free tickets obtained with frequent flyer miles might no longer be able to travel when funds for air travel were not available or were in short supply.	If air travel funds are short some employees may not receive free tickets.	Entailment
É essa a realidade atual do Flamengo, que tem 41 pontos e está distante 13 do líder do Corinthians.	O líder Corinthians é que ficou mais distante, agora a nove pontos.	None
ratemaking provisions.	The provisions are all approved.	None
Miguel Layún explicou a sua rápida adaptação ao FC Porto.	Miguel Layún está emprestado pelo Wattford ao FC Porto até junho de 2016.	None
Comments on classified or restricted reports should be transmitted in the manner agreed to by GAO and the agency.	There are specific transmission methodologies for classified reports.	Entailment
LAST-IN, FIRST-OUT (LIFO) - A cost flow assumption; the last goods purchased are assumed to be the first goods sold.	The last items purchased are the first out in a LIFO model.	Entailment
Environmental Observations on Elevating the EPA to Cabinet Status, March 21, 2002 (GAO-02-552T).	Environmental observations on raising the EPA to a cabinet position.	Entailment
Bombardier suggested that in addition to evaluation, this research should develop ways to mitigate legal, privacy, and confidentiality problems associated with screening and treatment.	Bombardier wants to protect the legal and private rights of those who receive screening and treatment.	Entailment
A mulher trabalhava no ramo musical, na editora Mercury, e encontrava-se na sala de espetáculos Bataclan.	Trata-se de Christine Gonçalves, uma mulher de 50 anos que trabalhava para a editora Mercury.	None
A minha equipa jogou bom futebol, mas não tivemos a sorte de alcançar o golo nas muitas ocasiões que criámos.	Apelo aos nossos adeptos para virem apoiar-nos num jogo entre duas grandes equipas que praticam bom futebol.	None
but not if we simply add yet another program on top of all of the existing regulations.	Adding another program to an existing regulation is a simple task.	None
Ver o show de Rod Stewart em família terá um motivo mais especial.	Rod Stewart se sentou no colinho de uma colega.	None
PROBABLE - That which can reasonably be expected or believed to be more likely than not on the basis of available evidence or logic but which is neither certain nor proven.	Probable means what is likely to happen so it's not certain or proven and it's also the basis of a mathematical law.	None
U.S. manufacturing growth expanded for the third straight month in September but at a slower pace, according to a report released shortly after the opening bell.	US manufacturing grew for the third consecutive month in September, but at a slower rate than in previous months, according to a survey released Wednesday.	Paraphrase
Davis Co., Porta-McCurdy Development Co., Summit Contractors Inc., Olathe Leased Housing Associates I, Olathe Leased Housing Associates II, NHG Olathe Partners, Nationwide Housing Group, Dominium Kansas One and Dominium Olathe Partners.	a group of companies	Entailment
It is so far out in international water that the finder Odyssey Marine Exploration, of Tampa, Fla., does not have to share the wealth with any governments.	And because it is so far out in international water, salvage company Odyssey Marine Exploration doesn't have to share the wealth with coastal state governments.	Paraphrase
This guide is one of a series of GAO publications, listed in appendix I, that are intended to define actions federal officials can take to better manage their information resources.	GAO has a series of publications that work to define actions that can be taken to improve.	None
At the time of our visit, in February 1997, incidents were categorized into 13 types, which generally pertained to the negative effects of the violations.	Number 1 is stealing candy type stuff and 13 is rape / murder of a family.	None
The internal controls that were considered adequate for external financial reporting were not always sufficient for performance management.	The Internal controls were good enough for the external financial reporting but nothing more.	None
It's really a great service, he said.	He thinks the service is essential to helping minorities.	None
Substantial increase in absolute value of own-price elasticity of aggregate household demand from 1986 to 1994, from -0.	The increase in value of household demand was very large.	None
Table 3: Examples of BLM's, FHWA's, IRS's, and VBA's Employee Perspective Expectations for Senior Executive Performance	There is a table depicting too much information.	None
O criador é Giovanni Bianco, diretor de arte parceiro de Madonna e responsável pelas capas dos seus discos.	Giovanni é o diretor de arte responsável pelas capas dos discos da Madonna.	Entailment
Monitoring performance, over time, is critical to program management and oversight.	Monitoring performance is important to program management.	Entailment
Antes do fim da etapa inicial, a Ponte fez o terceiro.	Prova disso foram três cartões amarelos levados antes dos 25 minutos da etapa inicial.	None
Writing in the journal Geophysical Research Letters, Vincent’s team said all of the fresh water poured out of the 20 mile (30 km) long Disraeli Fjord.	Writing in the journal Geophysical Research Letters, Vincent's team said all of the fresh water poured out of the 20-mile-long Disraeli Fjord.	Paraphrase
Those in their twenties who ejaculated more than five times a week were one-third less likely to develop aggressive prostate cancer later in life, they say.	Those who ejaculated more than five times a week were a third less likely to develop serious prostate cancer in later life.	Paraphrase
About 1,500 police will be deployed for the visit.	Around 1,500 police are to be deployed at Niigata for the ferry's visit.	Paraphrase
DOD generally agreed with the report and its recommendations.	DOD generally agreed with the report and its recommendations.	Entailment
WHO developed the AUDIT (Alcohol Use Disorder Identification Test) in 1992 as a brief screening tool to detect at-risk drinking in addition to alcohol abuse and dependence.	The AUDIT system was developed by the World Health Organisation in 1992.	Entailment
"After careful analysis, WHO has concluded that the risk to travelers to Beijing is now minimal," Omi said today at a news conference in Beijing.	"After careful analysis, WHO has concluded that the risk to travellers to Beijing is now minimal," Omi told a news conference in Beijing on Tuesday.	Paraphrase
