premise	hypo	label
Unilever Bestfoods said Wednesday it would strip trans fats from its I Can't Believe It's Not Butter spreads by the middle of next year.	Unilever Bestfoods said its "I Can't Believe It's Not Butter' margarine spreads will be free of trans fat by next year.	Paraphrase
Ele disse que o efeito prático da visita dos governadores é "nenhum".	Pezão disse acreditar que há apoio mesmo entre os governadores de oposição.	None
Soon the whole cell was filled with a stuffy erotically-physiological atmosphere, and a single, abstract frustration about L.T.	The whole cell felt uncomfortable for the people who lived there.	None
O Eurosport garantiu os direitos de transmissão da Fórmula 1 para Portugal, a partir do próximo ano até 2018.	O Eurosport adquiriu os direitos de transmissão da Fórmula 1 para Portugal até 2018.	Entailment
yeah what do you where do you like to camp how do you like to camp	Perhaps we could go camping together.	None
It will also unveil a version of its Windows Server 2003 operating system tuned specifically for storage devices.	It also unveiled an update to its Windows Server 2003 operating system, which is tuned specifically for storage devices.	Paraphrase
The next morning, I woke up quite early and went to see Greuze.	I woke up early the next day and visited Greuze.	Entailment
The only housing available was huts or tents, and the roads were generally quagmires.	The roads were muddy and only huts or tents were available for housing.	Entailment
Meanwhile, he is being looked into for allegedly putting the arm on a Pakistani lobbyist for campaign contributions.	He has been investigated for several improprieties.	None
On Temple Bar's southern boundary, Dame Street, is a gem of Victorian architecture, the Olympia Theatre .	The Olympia Theatre is open for tours on most weekdays.	None
If you want us to stay and others want to leave, they can leave.	"If you want the others to leave, they will leave, and we will stay."	Entailment
The Supreme Court established the Joint Legal Services Access &amp; Funding Committee, directing it to make recommendations to the Court and the Legislature by December 31, 1995.	The Joint Legal Services Access & Funding Committee was founded before December 31, 1995.	Entailment
Inevitably the mayors of Nashville and St. Louis will wager well-known local products on the big game.	The mayor of New Orleans will join in for fun.	None
O tiroteio terá acontecido perto da escola básica da Quinta de Mós, em Fetais, durante a manhã.	A troca de tiros ocorreu no bairro Quinta das Mós, em Fetais.	Entailment
O doutor António Costa terá ouvido isto.	Já sabem que eu tenho sempre uma palavrinha para o doutor António Costa na minha intervenção inicial.	None
A 1ª Primavera dos Museus ocorreu em 2007, com 300 museus inscritos e 874 eventos.	No país, 809 instituições participarão da Primavera dos Museus em 2015.	None
yeah it does basically though the the golf season only shuts down for maybe three months out of the year if that much you know probably not even that much because really	The golf course is only closed during winter seasons.	None
And you never told me?	Why didn't you tell me?	None
yeah mostly i think in a place where it's really cold they do it in the fall let them winter	They do it in the cold due to guidelines.	None
But its most popular comedy, Friends, is going into its last season.	But its most popular comedy, Friends, will sign off after a two-hour finale next May.	Paraphrase
According to the Enquirer 's plastic surgery consultant, Dr. Jerome Craft of Palm Beach, Fla., TV news anchorman Peter Jennings had his face pulled a bit tight, giving his eyes a slightly Oriental look.	Dr. Jerome Craft is a plastic surgery consultant who works for the Enquirer.	Entailment
À época, havia 6.444 presos da unidade, que tem capacidade para 1.514 internos.	De acordo com Delgado, a instituição tem 7.000 internos em um espaço para menos de 2.000 presos.	None
Super-Paradise, in the next bay, is a gay, clothing-optional beach.	Super-Paradise attracts a a lot of gay people.	None
Take two or three days anything less is likely to be a waste of time.	You must take your time to appreciate it.	None
The ambassador said it was up to the Americans to press the Iraqis to make the invitation, which he said the United States appears unwilling to do.	The ambassador said it was up to the Americans to press the Iraqi council to make the invitation - a move he said the United States appears unwilling to make.	Paraphrase
In the case of carbon, the bank would last another two years at the rate of drawdown in 2015, or longer if the drawdown declined.	The drawdown declined and the bank sustained itself for an additional 10 years.	None
Got Old Tar when he turned up in a wild-hoss corral th' mustangers set over in th' Red River country "	Old Tar went to Red River country.	Entailment
I guess that hundred thousand pounds will look just as good in the morning to the lady as it did over night.	The money will be just as good in the morning as it is right now.	Entailment
yeah i've been with them for about four years now	"For the last four years we have been together in this building."	None
Its second-quarter earnings per share of 22 cents was slightly better than analysts' estimates of 19 cents a share and more than double its prediction in April.	But an earnings per share of 22 cents was slightly better than analysts' estimates of 19 cents a share and more than double what Ford had predicted in April.	Paraphrase
No one individual should control all key aspects of a transaction or event.	Transactions should be varied in response	None
Pelé está internado no hospital Albert Einstein em São Paulo.	O Hospital Albert Einstein confirmou a internação, mas não forneceu mais detalhes.	None
yeah there is there there there are much easier ways to get out of jury duty	Jury duty is a chore that nobody enjoys doing.	None
In the 1980s, it was 1,281 m (4,203 ft) high, having added 79 m (259 ft) with the big eruption of 1944 and subsequent smaller ones.	The eruptions since 1944 made it grow by 79 meters.	Entailment
In the southeast corner of the courtyard is the Turkish Sultana's House, or Hujra-i-Anup Talao (the Chamber of the Peerless Pool); animals covering every wall panel and pillar create the illusion of woodwork rather than stone.	There are a number of animals on the wall panels.	Entailment
Para o próximo ano, a previsão ficou em déficit de US$ 76,35 bilhões.	E a expectativa para 2016 ficou em US$ 65 bilhões.	None
Na quarta-feira (7) será anunciado o Nobel de Química e um dia depois o prêmio de Literatura.	Nesta quarta-feira (7) será divulgado o Prêmio Nobel de Química.	Entailment
The Distribution of Inbound Mailby Weight Interval.	The Distribution of Inbound Mailby Weight Interval is exactly the type of sentence that will get you slapped.	None
After that his work was done.	After washing all the dishes he was done with his work.	None
"I will support a constitutional amendment which would honor marriage between a man and a woman, codify that," he said.	"If necessary, I will support a constitutional amendment which would honour marriage between a man and a woman, codify that."	Paraphrase
Barring risks from unscheduled activity, you can go as far as the 600 m- (1,962 ft-) wide steaming crater.	An example of unscheduled activity at the crater would be a party	None
In 1443, it was reunited with Sicily and known as the Kingdom of the Two Sicilies under the Spanish King Alfonso V of Aragon.	King Alfonso V of Aragon reunited it with Sicily.	Entailment
But the institute says the department "woefully underestimates" the changes that would occur under the proposal.	But the institute says the department ‘‘woefully underestimates’’ the changes that would occur if the proposal is implemented.	Paraphrase
"This is a cloud hanging over their credibility, their word," said Hagel.	"This is a cloud hanging over their credibility, their word," Hagel said on ABC's "This Week."	Paraphrase
(This small difference would be further reduced if retail activities of rural carriers were not counted.)	If retail activities of rural carriers were not counted, then this slight difference would be further reduced.	Entailment
Elza dos Santos estava internada em um hospital particular de Belém.	Elza estava internada em hospital da cidade em tratamento contra um câncer.	None
Gates and Kinsley.	Gates and Kinsley are good friends.	None
still because you guys ran into it a while back	You guys had a good head-start with it.	None
A total of 32 U.S. soldiers have been killed in attacks since May 1, when President Bush declared the end of major hostilities in Iraq.	Thirty-two U.S. soldiers have been killed in Iraq since President Bush declared major combat over on May 1.	Paraphrase
O Porto Canal distancia-se por completo das declarações proferidas pelo Sr. Dr. Pedro Arroja.	Francisco Louçã reagiu ao comentário de Pedro Arroja no Porto Canal.	None
O Comité de Ética da FIFA está desde segunda-feira na Suiça para investigar os casos de Joseph Blatter e Michel Platini.	Michel Platini foi ouvido na qualidade de testemunha, no âmbito de uma investigação à FIFA.	None
O argumento de Tatiane para conseguir a nulidade do primeiro casamento é a imaturidade dela aos 16 anos.	Foi aí que Tatiane decidiu entrar com o pedido de nulidade do primeiro casamento.	None
Meanwhile, in June alone, big Chinese enterprises affiliated with ministries and local governments raised 17.	Chinese companies try to be closer to other organizations to get more customers.	None
Two women lost their battle in a British court yesterday to save their frozen embryos and use them to have children without the consent of their former partners.	Two British women lost a desperate court battle on Wednesday to have babies using frozen embryos their former partners want destroyed.	Paraphrase
But something else is bothering Reese.	Reese is bothered by a different thing.	Entailment
You have to have a lawyer to show them you mean business.	To show them you mean business, you need a lawyer.	Entailment
"The question that has to be penetrated is, how did 38 visits over 2 years not rescue these children from slow torture and starvation?"	"The question that has to be penetrated is how did 38 visits over two years not rescue these children from slow torture and starvation," Ryan said in an interview.	Paraphrase
A participação da Força Expedicionária Brasileira na 2ª Guerra Mundial completou 70 anos em 2015.	Eles ficaram conhecidos como os Pracinhas da Força Expedicionária Brasileira.	None
I'm right, then.	I am correct then.	Entailment
and that's relatively calm city	And that is a relatively quiet city.	Entailment
O comandante dos Gunners, Arsène Wenger, não se intimidou para falar da 'pressão' que estaria sofrendo seu rival José Mourinho.	José Mourinho e Arsène Wenger costumam protagonizar grandes momentos de troca de palavras e insinuações.	None
Four people were found shot to death along a highway Tuesday morning and three others were wounded in a possible dispute involving immigrant smuggling, officials said.	Four people were found shot to death along a highway Tuesday and four others were wounded in a dispute that apparently involved immigrant smugglers, officials said.	Paraphrase
Por isso que suas coletivas estão entre as melhores da história recente do futebol brasileiro.	O próprio treinador admitiu isso em entrevista coletiva recente.	None
Acabaria por falecer no passado dia 8 de janeiro, poucos antes de chegar aos três anos de idade.	Morreu a 8 de Janeiro deste ano, pouco antes de completar os três anos de idade.	Paraphrase
"Please, keep doing your homework," said Bavelier, the mother of three.	"Please, keep doing your homework," said Bavelier, the mother of 6-year-old twins and a 2-year old.	Paraphrase
The answer here is probably yes as well, even though private-sector firms would say no on both points.	Private-sector firms disagree because they dispute the data provided.	None
In addition, LSC has begun conducting a thorough review of LSC's regulations.	LSC had to thoroughly review their regulations.	Entailment
Up to now Johnny's been their best bet at gittin' th' Range into trouble."Drew turned his head to look Fenner in the eye.	Johnny has been causing the Range trouble.	Entailment
Resta esperar que Ben Affleck e Jennifer Garner se pronunciem sobre o assunto.	Jennifer Garner e Bem Affleck deverão reconciliar-se.	None
I agree that we have a regular recession and that the currency board prevents us from applying the usual recipe, but it's not clear that it would work, and at this point breaking the peso commitment would be extremely onerous.	Thew new recipe might bring about new problems that would only complicate things further.	None
Nos seis primeiros meses do ano, as autoridades alemãs receberam quase 180 mil pedidos de asilo.	A Alemanha espera receber 450 mil pedidos de asilo até o final do ano.	None
Red stared at him sidelong.	Red left hi gaze on him from a side position.	None
so that's scary	I am afraid of it.	None
This was-and remains-an enormous challenge.	Conducting a flawless office fire drill is an enormous challenge.	None
yeah i i don't see it we've got a lot of younger families in our neighborhood and everybody's so busy out there making a living uh you can see why the well i know uh	There are a bunch of young people in the neighborhood.	None
Without meaningful reform, the Social Security and Medicare programs face long-term financing problems.	If nothing changes, Medicare could face funding problems.	Entailment
O Pages é cada vez mais usado para os utilizadores descobrirem um pouco mais sobre negócios.	Cada vez mais o Facebook, por exemplo, é usado para interagir com marcas e produtos.	None
A exibição acontecerá durante o Festival da Mulher Afro Latino-Americana e Caribenha (Latinidades).	O festival celebra o Dia da Mulher Negra Latino-Americana e Caribenha em Brasília.	None
That goddamned hamster dance.	That darn little animal dance.	Entailment
Economic logic suggests that in the long run such countries, if they can put their inflationary histories behind them, have no business adopting the currency of a faraway country which will not take their interests into account.	Economic logic is not always correct.	None
'We're still going to the city,' Natalia/Lincoln insisted.	Lincoln said we'd still go to the city.	Entailment
and they'll just go out and do anything they can to do it	They do whatever they can.	Entailment
1 ranking in the Forbes 400.	Bill Gates holds the 1 ranking in the Forbes 400.	None
"Today, we are trying to convey this problem to Russian President Vladimir Putin and US President George W Bush."	"Today, we are trying to convey this problem to Russian President Vladimir Putin (news - web sites) and President Bush (news - web sites)."	Paraphrase
Recorde-se o que se passou com o chumbo do primeiro governo de Cavaco Silva.	A convicção na PàF é de que Passos (e Portas) deverá exigir formar governo a Cavaco Silva.	None
Mr. Carter listened in silence with a resumption of his tired manner.	Mr. Carter repeatedly showed signs he was weary of this conversation.	Entailment
Francisco aterrou nos Estados Unidos terça-feira, vindo de Cuba, onde deixou mensagens a apelar a revolução da reconciliação.	Francisco deixou a Cuba e seguiu para os Estados Unidos na terça-feira.	Entailment
wow do you have time to do that in your job	Do you have time to swim that much with your job?	None
Strangest of all, his lower jaw appeared to be encased in a curved plate of iron.	His lower jaw was encased in iron.	Entailment
In 2002, spending on inpatient hospital care grew by 6.8 percent and the costs of outpatient hospital care rose by 14.6 percent, the study.	In 2002, spending on inpatient hospital care grew by 6.8 percent and that on outpatient hospital care by 14.6 percent.	Paraphrase
On the way, you'll pass the Casino Costa Blanca, where the stakes are low and the excitement runs high.	At the Casino Costa Blanca, excitement is high and the stakes are low.	Entailment
What if a foundering political campaign were the wacky premise for a failing TV show!	How about a failing TV show about a political campaign that's collapsing?	Entailment
Beginners who can stay afloat can learn to breathe through the tube and peer through the mask in minutes.	If beginners can stay afloat, then they can learn to breathe through the tube and peer through the mask in minutes.	Entailment
Adapting the research case study to the evaluator's needs has entailed a number of changes.	The research needs to be adapted to the evaluators needs	Entailment
The greater use of broadbanding is one of the options that deserves to be discussed.	There are no other options that need to be discussed.	None
Those who have been victimized by document preparers who are not attorneys should call their local district attorney or the Attorney General's Public Inquiry Unit at (800) 952-5225.	Those who have been treated unfairly by document preparers can call (800) 952-5225.	Entailment
huh and i don't want to go with those canvas bags right now i'm sorry i'm not that European	Those canvas bags are a little too European for my tastes, I am not into them.	Entailment
Yes, there was a correct order.	The books were put in a certain order.	None
it's it's interesting to hear that Bush has	Bush is very interesting.	None
Mr. Soros branded Mr. Snow's policy shift a "mistake."	Soros criticised Snow's policy shift as a "mistake".	Paraphrase
Identical wording was introduced in the Senate last week by three Republicans, Wayne Allard (Colo.), Jeff Sessions (Ala.) and Sam Brownback (Kan.).	Identical wording was introduced in the Senate last week by three Republicans: Wayne Allard of Colorado, Jeff Sessions of Alabama and Sam Brownback of Kansas.	Paraphrase
Françoise Olcay acrescentou que as autoridades turcas também estão envolvidas.	E acrescenta ainda que as autoridades turcas também estão envolvidas neste processo.	Entailment
Most influential at this stage was architect William Playfair, and his flair can be seen in many of the streets and public buildings of the time.	William Playfair was an architect who was influential.	Entailment
Among those cases, according to Leslie Curry, litigation director of Western Michigan Legal Services, was that of a mother evicted from public housing about a year ago with several young children.	Leslie Curry is litigation director of Western Michigan Legal Services.	Entailment
"The United States welcomes a greater NATO role in Iraq's stabilization," Mr. Powell told his colleagues in a speech today.	"The United States welcomes a greater NATO role in Iraq's stabilization," Mr. Powell said in a speech to fellow NATO ministers.	Paraphrase
Just as Christianity introduced Mediterranean culture into northern Europe, so Buddhism brought Chinese culture into Japanese society.	Chinese culture would not have influenced Japan if not for Buddhism.	None
When Hideyoshi built his main castle in the center of Osaka after unifying the country in 1583, the city's proserity seemed written in stone.	Unifying the country in 1583 was the sole reason for it's future prosperity.	None
Dr Mark McClean, Jonathan's family doctor, said if the drug had been administered earlier Jonathan would have retained more of his brain functions.	Dr Mark McClean, the family's GP, said had the drug been administered to Jonathan earlier, he would have retained more of his brain function.	Paraphrase
Quanto ao arroz, os cidadãos que trabalham na capital portuguesa precisam de oito minutos para comprarem um quilo.	Em Genebra (Suíça) são necessários apenas quatro minutos de trabalho para se comprar um quilo de arroz.	None
There is a total of 12,800 Buddha statues here, plus the remains of the monastery's founder embalmed in gold leaf.	The monastery's founder was embalmed in gold leaf when he died.	Entailment
"We have found the smoking gun," board member Scott Hubbard said.	"We have found the smoking gun," said Hubbard, director of NASA's Ames Research Center in California.	Paraphrase
She estimated it would take three months and would require cancellation of a sub-audit of the Department of Environmental Quality.	She said it would take an estimated three months to conduct and require the cancellation of a sub-audit of the Department of Environmental Quality.	Paraphrase
That object, it concerns Mr. Alfred Inglethorp." 93 Inglethorp was sitting a little by himself ”I think, unconsciously, every one had drawn his chair slightly away from him ”and he gave a faint start as Poirot pronounced his name.	Everyone was in fear subconsciously at the implications of the findings.	None
É essa a realidade atual do Flamengo, que tem 41 pontos e está distante 13 do líder do Corinthians.	O líder Corinthians é que ficou mais distante, agora a nove pontos.	None
George McClellan out of retirement to save the Union Army.	The Union Army really benefits from George McClellan's training.	None
Miguel Layún explicou a sua rápida adaptação ao FC Porto.	Miguel Layún está emprestado pelo Wattford ao FC Porto até junho de 2016.	None
There are good road connections between Sant Antoni and both CaleT?¡rida and CaleBadella, with the result that both bays have now been developed.	With the good road connections, both bays have been developed.	Entailment
We could use their assistance should it be needed.	We might need help every day.	None
The federal CIO is also subject to a funding process that is more complex and uncertain than in most other organizations.	It is uncertain in most other organizations because they don't usually keep good records.	None
Benedykt Ossolinsky, age 39, began to grow childish.	The person named Benedykt Ossolinsky lived to be at least 39 years old.	Entailment
A mulher trabalhava no ramo musical, na editora Mercury, e encontrava-se na sala de espetáculos Bataclan.	Trata-se de Christine Gonçalves, uma mulher de 50 anos que trabalhava para a editora Mercury.	None
A minha equipa jogou bom futebol, mas não tivemos a sorte de alcançar o golo nas muitas ocasiões que criámos.	Apelo aos nossos adeptos para virem apoiar-nos num jogo entre duas grandes equipas que praticam bom futebol.	None
latest latest one i've saw which was a mistake to go see was Lionheart had Claude Van Damme	The latest one I watched was Lionheart, featuring Claude Van Damme.	Entailment
Ver o show de Rod Stewart em família terá um motivo mais especial.	Rod Stewart se sentou no colinho de uma colega.	None
I haven't had one darned word from him, though I wired him yesterday morning."	I haven't heard a single thing from him because his signal keeps jamming.	None
U.S. manufacturing growth expanded for the third straight month in September but at a slower pace, according to a report released shortly after the opening bell.	US manufacturing grew for the third consecutive month in September, but at a slower rate than in previous months, according to a survey released Wednesday.	Paraphrase
The museum is open late April September, Monday Friday 10am 6pm, Saturday and Sunday 1 6pm; October November daily 1 5pm; admission adults IRa2.	The museum is open most of the year.	Entailment
It is so far out in international water that the finder Odyssey Marine Exploration, of Tampa, Fla., does not have to share the wealth with any governments.	And because it is so far out in international water, salvage company Odyssey Marine Exploration doesn't have to share the wealth with coastal state governments.	Paraphrase
While many deaths from daily exposure to PM may occur in individuals with cardiovascular disease, studies have shown relationships between all cause mortality and PM, and between PM and mortality from pneumonia (Schwartz, 2000).	PM might cause deaths because they are dangerous to patients.	None
ratemaking provisions.	The provisions are all approved.	None
The Caleornia ScienceCeter andIMAX Theater (700 State Drive) presents technological exhibits from robotics and fiber optics to a miniature winery.	The most popular exhibit is the one teaching children how to make rockets.	None
However, several conceptual and practical issues need to be clarified so they can be resolved in a future research and implementation agenda.	The agenda has many vestigial details.	None
I also think it is commendable that his articles, although unfavorable to Microsoft in the main, are being hosted on a Microsoft-owned site.	The fact that Microsoft will host articles unfavorable to Microsoft is commendable.	Entailment
Students who object to animal experimentation should be allowed to decline, but be required to spend extra time with Stan and his friends.	Students should be able to choose between spending time with Stan and animal experimentation.	Entailment
O criador é Giovanni Bianco, diretor de arte parceiro de Madonna e responsável pelas capas dos seus discos.	Giovanni é o diretor de arte responsável pelas capas dos discos da Madonna.	Entailment
Drew shook his head.	Drew shook his head vigorously.	None
Antes do fim da etapa inicial, a Ponte fez o terceiro.	Prova disso foram três cartões amarelos levados antes dos 25 minutos da etapa inicial.	None
Writing in the journal Geophysical Research Letters, Vincent’s team said all of the fresh water poured out of the 20 mile (30 km) long Disraeli Fjord.	Writing in the journal Geophysical Research Letters, Vincent's team said all of the fresh water poured out of the 20-mile-long Disraeli Fjord.	Paraphrase
Those in their twenties who ejaculated more than five times a week were one-third less likely to develop aggressive prostate cancer later in life, they say.	Those who ejaculated more than five times a week were a third less likely to develop serious prostate cancer in later life.	Paraphrase
About 1,500 police will be deployed for the visit.	Around 1,500 police are to be deployed at Niigata for the ferry's visit.	Paraphrase
she be she gets back at kitty cat for all the hassle	My cat is a little terror.	None
Nearly half the Jewish inhabitants hail from overseas, and they have brought with them many of the accumulated customs and cultural traditions of their former homes.	They came from the magical land of Jewlandia.	None
"After careful analysis, WHO has concluded that the risk to travelers to Beijing is now minimal," Omi said today at a news conference in Beijing.	"After careful analysis, WHO has concluded that the risk to travellers to Beijing is now minimal," Omi told a news conference in Beijing on Tuesday.	Paraphrase
The 39-year-old Luster initially gave police a false name, but later revealed his true identity.	Barrera said Luster gave police a false name immediately after his arrest Wednesday but later revealed his true identity.	Paraphrase
I've known a lot of big men that will piss themselves if they feel their own blood rolling down their neck but she didn't.	She didn't even flinch at the thought of blood rolling along her body. She proves tougher than any man I've ever dealt with before.	Entailment
How did you know? I whispered.	I whispered to the person.	Entailment
"I stand 100 percent by it, and I think our intelligence services gave us the correct information at the time."	I stand 100 percent by it, and I think that our intelligence services gave us the correct intelligence and information at the time," Blair said.	Paraphrase
of course it's real hot here too you know	It is really hot during both summer and winter here.	None
4 million, which will be divvied up nationwide.	4 million will be divided nationwide, according to the German Prime Minister.	None
A Bélgica seria um dos principais países na Europa de origem de combatentes estrangeiros.	Nem sempre os combatentes estrangeiros sofriam com o desemprego no país de origem.	None
Dos 743 casos no mesmo período do ano passado, 29,6%, ou 220, tiveram vítimas.	Do total de 2015, 25%, ou 140, tiveram vítimas.	None
Immediately inside the gate is the richly decorated Throne Room (Arz Odase), where the sultan received foreign ambassadors.	The sultan received foreign ambassadors in the Throne Room which was found immediately inside the gate.	Entailment
He replied that he had put it back where he found it." The lawyer paused again.	The lawyer took a drink of water after stating the man put the item back.	None
that's what i i you know that's how i camp too that's how i define camping the rest of the rest of that is really really not the same as a matter of fact my my my	I camp that way as well.	Entailment
i think that's right i think they just lost their uh inspiration for a while	The athletes lost touch with their inspiration for a bit.	None
For purposes of this simulation, the amount of allowances banked from 2002 through 2006 was calculated as the simple difference between the reference case projections and the actual emission trajectory of each scenario.	The simulation calculated allowances backed.	Entailment
In the Rue des Forges, note the Hotel Chambellan (at number 34) and the Hotel Aubriot (at number 40), home of the Provost of Paris who built the Bastille prison.	The Provost that built the Bastille prison resided in the Hotel Aubriot.	Entailment
Um dos grandes patrocinadores da FIFA pediu o afastamento de Joseph Blatter da FIFA.	Joseph Blatter demitiu-se da presidência da FIFA quatro dias após ter sido reeleito.	None
A Alemanha espera receber 800 mil solicitantes de asilo neste ano, quatro vezes mais que no ano passado.	O governo alemão está esperando receber mais de 800.000 pedidos de asilo neste ano.	None
He heard a great tearing sound of thunder.	He heard a loud thundering.	Entailment
