premise	hypo	label
Raúl construiu uma carreira legendária no Real Madrid, começando sua carreira profissional no clube espanhol em 1994, e deixando o clube em 2010.	Raúl jogou pelo Real Madrid por 16 anos.	Entailment
Marlon James, de 44 anos, é o primeiro jamaicano a receber um Man Booker.	Marlon James, de 44 anos, ganhou o Man Booker.	Entailment
Enquanto o Milan visita a Udinese, o Palermo recebe o Sassuolo em seu estádio, Renzo Barbera.	O Palermo vai receber o Sassuolo no seu estádio, Renzo Barbera.	Entailment
Cerca de 1 mil pessoas participavam no festival "Color Play Asia" no parque aquático.	A polícia interrogou os organizadores da festa Color Play Asia e prendeu um homem.	None
Danielly Rodrigues Ferreira, 17, teve traumatismo craniano e várias lesões pelo corpo.	A adolescente de 17 anos sofreu graves lesões.	Entailment
The effects of acute alcohol intoxication and chronic alcohol abuse on outcome from trauma.	Acute alcohol intoxication and chronic alcohol abuse have traumatic effects.	Entailment
No confronto, dois criminosos morreram e um terceiro foi ferido.	O confronto terminou com dois dos suspeitos mortos e um ferido.	Paraphrase
But fewer than one in six get help from a lawyer, according to a survey.	Survey says that less than one in six seek a lawyer's assistance.	Entailment
No minuto seguinte, Rômulo cobrou falta com muito veneno, acertando o travessão do Bragantino.	Aos 18 minutos, Rômulo cobrou falta e misturou precisão e força no lance.	None
Overture's listings are generated by more than 100,000 advertisers who bid for placement on keywords relevant to their business.	Overture generates its search listings from more than 100,000 advertisers who bid for placement on keywords relevant to their business.	Paraphrase
The final rule was reviewed by the Office of Management and Budget and determined to be an economically significant regulatory action and approved as complying with the order.	The final rule was reviewed by the Office of Management and Budget and was approved.	Entailment
Ele chegou ao poder no ano passado, após a queda do presidente Blaise Compaoré.	Kafando, ex-embaixador de Burkina Fasso na ONU, foi designado presidente da transição em novembro do ano passado.	None
Implementation of SCR System at TVA Paradise Unit 2	TVA Paradise Unit 2 and the SCR System Implementation.	Entailment
Federal Agriculture Minister Warren Truss said the Government still did not know the real reason the sheep were rejected at the Saudi port of Jeddah on August 21.	He said the Government still did not know the real reason the original Saudi buyer pulled out on August 21.	Paraphrase
"They will feel themselves to be deceived and they may well dismiss legitimate evidence of the risks of this and other drugs in the future.	They will feel themselves to be deceived and they may well dismiss legitimate evidence for the dangers and risks of this and other drugs in the future."	Paraphrase
No primeiro minuto, Oliveira virou, após frango de Ceni.	Ricardo Oliveira ampliou para o Peixe no primeiro minuto do segundo tempo.	None
9 billion per year (again, in 1999 dollars with half as federal appropriations and half as private-sector cost share).	Again, in 1999 dollars with half as federal appropriations and half as private-sector cost share equaled 9 billion per year.	Entailment
Para tentar trazer a inflação para a meta, o BC elevou a Selic por sete vezes seguidas.	O BC diz que os efeitos de elevação da Selic se acumulam e levam tempo para aparecer.	None
De junho para julho, o IPC desacelerou de 5,47% para 0,52%.	Indicador ficou em 0,69%, ante 0,67% em junho.	None
If this is true, it could at least partially explain why the number of pieces delivered per box is so much larger for the fourth and fifth quintile than it is for the other three.	If this is the truth, it would explain, at least partially, our problem.	Entailment
Ainda assim, a operação pode fazer prever um novo conflito entre Pyongyang e a comunidade internacional.	No entanto, a operação poderia colocar Pyongyang mais uma vez em rota de colisão com a comunidade internacional.	Paraphrase
State Rep. Ron Wilson, D-Houston, joined committee Republicans in voting for the map.	State Rep. Ron Wilson, a Houston Democrat, joined nine Republicans in approving the bill Saturday.	Paraphrase
No concurso 1.561 da Lotomania ninguém acertou as 20 dezenas e o prêmio acumulou para R$ 1 milhão.	A Quina também acumulou e agora pode pagar R$ 4,2 milhões no próximo concurso.	None
APHIS cites as statutory authorization for this rule 7 U.S.C.	APHIS has statutory authorization according to the rule 7 U.S.C.	Entailment
Automobile includes small trucks.	Small trucks are considered as automobiles.	Entailment
Francisco aterrou nos Estados Unidos terça-feira, vindo de Cuba, onde deixou mensagens a apelar a revolução da reconciliação.	Francisco deixou a Cuba e seguiu para os Estados Unidos na terça-feira.	Entailment
Justice Minister Martin Cauchon and Prime Minister Jean Chrétien have both said the Liberal government will introduce legislation soon to decriminalize possession of small amounts of pot for personal use.	Justice Minister Martin Cauchon and Prime Minister Jean Chretien both have said the government will introduce legislation to decriminalize possession of small amounts of pot.	Paraphrase
Two years later, the insurance coverage would begin.	Under the agreement, Medicare coverage for drug benefits would begin in 2006.	Paraphrase
It is an ad valorem tax of 0.125 percent imposed on commercial cargo loaded and unloaded at specified U.S. ports open to public navigation.	It is an ad valorem tax of 0.125 percent imposed	Entailment
This approach requires a total time of 35 months for seven SCR retrofits.	Thirty five months are required for the seven SCR retrofits.	Entailment
O Alzheimer é um tipo de demência que é mais comum em pessoas de idade avançada.	O Alzheimer é um tipo de demência e no mundo cerca de 35 milhões de pessoas sofrem desta doença.	None
Pelo negócio, o clube de Rosario embolsará 4,7 milhões de euros pelo meia-atacante de 21 anos.	O meia-atacante custou 4,7 milhões de euros.	Entailment
J.D. Edwards shareholders will receive 0.86 of a share of PeopleSoft for each share of J.D. Edwards.	Shareholders will get 0.86 PeopleSoft share, or $13.11, for each J.D. Edwards share, based on recent trading prices.	Paraphrase
Such an action would give greater effect to 49 U.S.C.	49 U.S.C. could potentially be affected by a particular action.	Entailment
Some 26.5 million shares changed hands, more than three times the daily average over 10 days of 6.8 million.	Some 11.8 million shares have changed hands, well above its daily average over 10 days of 6.8 million.	Paraphrase
Recall advocates say they have turned in 1.6 million signatures to counties.	Recall proponents say they have turned in nearly twice the number of necessary signatures.	Paraphrase
(GSA/IRMS, A Guide for Acquiring Commercial Software, Jan.	This is the title of a book.	Entailment
Two women lost their battle in a British court yesterday to save their frozen embryos and use them to have children without the consent of their former partners.	Two British women lost a desperate court battle on Wednesday to have babies using frozen embryos their former partners want destroyed.	Paraphrase
(Seven percent higher if retail service costs are eliminated from rural.)	If retail service costs are eliminated from rural, it will be seven percent higher.	Entailment
25 As the Congress moves to modify the federal budget process with the expiration of the Budget Enforcement Act, attention is warranted as to how the process considers the long-term implications of alternative spending choices.	The Budget Enforcement Act will be expiring.	Entailment
Rita Pereira é uma das juradas do programa da TVI 'Pequenos Gigantes', projeto que não a podia deixar mais orgulhosa.	Rita Pereira, orgulhosa dos 'Pequenos Gigantes', publicou uma fotografia com vários participantes e o júri.	None
A nível do salário mínimo, a UGT defende o aumento para 535 euros em Janeiro.	A UGT pede, no entanto, um aumento das pensões mínimas em 5%.	None
She was public sector chair of National Federation of Paralegal Associations from 1984 to 1988.	She was a public sector chair from 1984 to 1988.	Entailment
O Bluetooth tem sido adotado por um grande número de programadores e fabricantes como primeira escolha para soluções de conectividade.	O Bluetooth foi adotado por incontáveis desenvolvedores e fabricantes como sua solução de conectividade.	Paraphrase
and combined would account for percent of the increase in the IC terminal dues net balance.	There has been an increase in the IC terminal balance.	Entailment
Portugal tem uma das maiores taxas de desemprego jovem da União Europeia (UE), com 34,8%.	Portugal tem uma taxa de desemprego jovem de quase 35% .	Entailment
A maioria sofre de queimaduras graves indicou um responsável local à rádio sul-sudanesa Eye Radio.	Segundo a rádio local Eye Radio, mais de mil pessoas se aproximavam do local.	None
Gentilello said he has long supported placing a priority on research in this area.	Gentilello  is in favor of research in specific areas.	Entailment
REPORTING OF INFORMATION NOT SPECIFICALLY ADDRESSED IN THE STANDARDS	information that is reported but not specifically addressed in the material	Entailment
O Astana é a primeira equipa do Cazaquistão a conseguir chegar à fase de grupos da Liga dos Campeões.	O estatuto não ganha jogos, mas é inegável que o Astana é um outsider nesta Liga dos Campeões.	None
O Google está renomeando seu Google Glass e, aparentemente, expandindo seu trabalho em wearables.	Moorhead também disse que espera que o Google expanda sua linha de wearables para além do Google Glass.	None
Building components are tested individually and then together with other components in order to measure and compare their performance against the original design criteria.	Components used for buildings are tested individually.	Entailment
Wittig resigned last year after being indicted on federal bank fraud charges involving a real estate loan unrelated to Westar business.	Wittig resigned in late November about two weeks after being indicted on bank fraud charges in a real estate case unrelated to the company.	Paraphrase
O fogo deflagrou pelas 11h53 da terça-feira, num edifício de quatro andares da Rua de Cima do Muro.	Um incêndio deflagrou ao final da manhã desta terça-feira, na Rua de Cima do Muro.	Entailment
O serviço Netflix, que hoje arranca em Portugal, conta com a parceria da Vodafone Portugal.	Os clientes da Vodafone Portugal terão acesso ao serviço Netflix a partir da sua box.	None
A família de motorizações afetados inclui os 1.6 e 2.0 TDI de quatro cilindros.	O 1.2 de três cilindros poderá também estar envolvido na fraude.	None
GAO is required to follow the rules of the Senate and the	It's necessary for GAO to follow the Senate's rules.	Entailment
For fiscal year 2002, VBA revised its performance plans for the senior executives in the regional offices to improve individual accountability for performance elements by linking organizational performance goals and actual performance with meaningful and measurable performance elements.	VBA revised the performance plans.	Entailment
Charles O. Prince, 53, was named as Mr. Weill's successor.	Mr. Weill's longtime confidant, Charles O. Prince, 53, was named as his successor.	Paraphrase
"No data exists to indicate that the situation with repair stations poses a safety concern."	However, FAA spokeswoman Kathleen Bergen said no data indicate that the situation poses safety problems.	Paraphrase
Despite this limited progress, a number of government and private organizations have gained experience in establishing information-sharing relationships.	Although progress is limited, many government and private organizations have established information sharing relationships.	Entailment
The results will be published the July 10 issue of the journal Nature.	The results appear in Thursday’s issue of the journal Nature.	Paraphrase
O relator do processo é o ministro Augusto Nardes.	Os demais ministros vão avaliar se seguem ou não a proposta de Nardes.	None
The agency has agreements with 11 government departments, including the Department of Family and Community Services (FACS); the Department of Employment, Workplace Relations and Small Business; the Department of Veterans' Affairs; and the Department of Education, Training and Youth Affairs.	Several government departments have agreements with this agency.	Entailment
"The idea of a federal betting parlor on atrocities and terrorism is ridiculous and it's grotesque," said Wyden.	Sen. Ron Wyden, D-Ore., said the "idea of a federal betting parlor on atrocities and terrorism is ridiculous and grotesque," WBAL reported.	Paraphrase
Investigators conducted DNA tests on the stains and ran the results through a national DNA data base in August.	Investigators conducted DNA tests on the stains and ran the results through a national database last month.	Paraphrase
O meia Alisson Farias, da equipe B, e o lateral-esquerdo Oliveira, da mesma equipe.	Outro que foi confirmado na relação foi o meia Alisson Farias.	None
These considerations provide a basis for considering an Alternative Estimate using the most recent estimates from the wealth of time-series studies, in addition to one based on the long-term cohort studies.	Time-series studies and long-term cohort studies have been used in considering an Alternative Estimate.	Entailment
O roteiro começou com o Xico e a Ana Carolina Francisco, parceira do Hilton Lacerda.	Ana Carolina Francisco escreveu o roteiro de Big Jato junto com Hilton.	None
A abstenção dos portugueses nos círculos da emigração nunca foi tão alta.	Também nos círculos da emigração houve menos portugueses a votar.	None
O último jogo da franquia, King Fighters XIII, foi lançado originalmente em 2010 para as arcadas japonesas.	O último título, “The King of Fighters XIII”, foi lançado em 2010.	Entailment
One of the goals of the Substance Abuse Interest Group of SAEM was to authorize a substance abuse category for abstracts and sessions at the annual meeting.	There were some goals set by the SAEM group.	Entailment
O Grêmio volta a campo no próximo sábado, às 16h, quando enfrenta o Avaí na Ressacada.	Um dia antes, sábado (27), o Grêmio visita o Avaí.	None
Em Agosto de 2009, a Renault nomeou Grosjean para competir ao lado do bicampeão mundial de Fórmula 1 Fernando Alonso.	Grosjean venceu corridas e campeonatos em todas as categorias em que competiu até chegar à Fórmula 1.	None
The phrase present in the United States appears to have originated in proposed legislation that would have expanded the categories of aliens eligible for LSC funded representation.	There is a special category for aliens eligible for LSC funded representation.	Entailment
Together, these characteristics, among others, differentiate the federal CIO environment from other environments.	The federal CIO environment varies from other environments.	Entailment
He has already begun contacting groups that might be tenants.	Potential tenants are already being contacted as we speak.	Entailment
O eclipse da Lua de segunda-feira será total porque toda a face visível da Lua é obscurecida pela sombra da Terra (umbra).	No eclipse da Lua desta segunda-feira, toda a face visível da Lua ficou obscurecida pela sombra da Terra (umbra).	Entailment
Eles foram enterrados na manhã deste domingo no Cemitério Municipal de Carapicuíba.	O enterro ocorreu no Cemitério Municipal de Carapicuíba.	Entailment
It will be the first handset to ship with the Smartphone 2003 version of Microsoft's (Nasdaq: MSFT)  Windows Mobile software, the mobile operator said.	According to the company, it will be the first handset to ship with the Smartphone 2003 version of Microsoft's (Nasdaq: MSFT)  Windows Mobile software.	Paraphrase
Most federal performance management systems fail to achieve these objectives.	These objectives are not met by more federal performance management systems.	Entailment
Mallandro tem um afeto por Xuxa tão antigo quanto o dia em que eles se viram pela primeira vez.	Mallandro brincou, dizendo que dá próxima vez não vai deixar Xuxa escapar.	None
A man, 19-year-old Antowain Johnson, ``tried to go back in and get the rest of them but the smoke wouldn't let him,'' she said.	She said another man, 19-year-old Antowain Johnson, "tried to go back in ... but the smoke wouldn't let him."	Paraphrase
Former U.S. Rep. Frank McCloskey, 64, died this afternoon in his home after a long battle with bladder cancer.	McCloskey died Sunday afternoon in his home after a year-long battle with bladder cancer.	Paraphrase
Foram apreendidos dois molinetes com varas, um barco e um motor de popa, com tanque e 5 quilos de pescado.	Foram apreendidos dois molinetes com varas e 5 quilos de pescado.	Entailment
The company also earned 14 cents a share a year earlier.	A year ago, the company posted a profit of 12 cents a share.	Paraphrase
Pode trazer o Guardiola, se não mudarmos a postura, não vai adiantar nada.	O jogador não pode se acomodar jamais.	None
Suspected rebels also blew up an oil pipeline in north-east Colombia.	Also Sunday, suspected rebels dynamited an oil pipeline in northeast Colombia.	Paraphrase
O mundo já sabe que o Estado Islâmico é bárbaro, mas ainda não escolheu o lado de Assad.	O Estado Islâmico reivindica a criação de um Califado do Iraque e da Síria.	None
They were held under Section 41 of the Terrorism Act 2000 on suspicion of involvement in the commission, preparation or instigation of acts of terrorism.	Badat was arrested under section 41 of the Terrorism Act “on suspicion of involvement in the commission, preparation or instigation of acts of terrorism,” Scotland Yard confirmed.	Paraphrase
If the clients require extended service or representation, their cases are then matched with staff of any of the three programs depending on the specific language capabilities of each program.	The clients are matched with certain staff members.	Entailment
O principal índice do mercado nacional fechou a sessão desta segunda-feira a ganhar 1,17% e a negociar nos 5.134,58 pontos.	O PSI 20 é dos índices que mais valorizaram na sessão europeia, ao fechar a ganhar 1,17%.	None
While I have no doubt there will be diversion, my uneducated guess is that the glide path will be longer and the incline not so steep.	The path will be longer and not incline so steeply is his guess.	Entailment
John Smith -who has a bad heart and supports her son and his kids on a $404 monthly Social Security check - couldn't afford one.	John Smith had a bad heart.	Entailment
Os primeiros relatos davam conta de vários feridos, na sequência de um tiroteio entre os atacantes e a polícia.	Os primeiros relatos apontavam para a existência de feridos em resultado de um tiroteio.	Entailment
Já o Nexus 6P será feito pela Huawei é um pouco diferente do 5X.	O Huawei Nexus 6P deve ser anunciado oficialmente na próxima semana.	None
Tomorrow's testimony is to give an inside look at tax shelter development and marketing.	Tuesday’s testimony is to give an inside look at tax-shelter development and marketing.	Paraphrase
They remain 40 percent below the levels prior to February's initial overstatement news.	The stock remains 43 percent below levels prior to the February overstatement news.	Paraphrase
O jogo que chega amanhã ao mercado, Star Wars Battlefront, é um atirador na primeira pessoa tradicional.	Um dos jogos mais esperados do momento já está disponível para compra, o Star Wars Battlefront.	None
News that oil producers were lowering their output starting in November exacerbated a sell-off that was already under way on Wall Street.	News that the Organization of Petroleum Exporting Countries was lowering output starting in November exacerbated a stock sell-off already under way yesterday.	Paraphrase
Training programs have proven more effective than others.	Training programs seem to have had better results than others.	Entailment
What you've got is poor people with acute legal needs not being able to have those needs met, said Ernie Lewis, head of the state public-defender system and a board member of APPALRED.	Ernie Lewis is both an APPALRED board member and the head of the state public-defender system.	Entailment
One of the most powerful ways to expand client services and support for providers is to engage the private bar in poverty law activities.	They advocated for them to be more engaged with poverty law activities.	Entailment
This deterioration of security compounds when nearly all computers rely on a single operating system subject to the same vulnerabilities the world over," Geer added.	"The deterioration of security compounds when nearly all computers rely on a single operating system subject to the same vulnerabilities the world over."	Paraphrase
He said that in early December, immigration inspectors at Hartsfield will be able to match the fingerprints to the federal government's computerized "watch lists."	In early December, immigration inspectors at Hartsfield will be able to match the fingerprints to the federal government's computerized "watch lists," Williams said.	Paraphrase
Durante vários anos até 2012, esta taxa de crescimento foi de dois dígitos.	Por muitos anos, as taxas de crescimento tinham ficado em dois dígitos.	Entailment
Quatro selecções terão o estatuto de cabeças-de-série e serão sorteadas frente a quatro não cabeças-de-série.	O nome das selecções que serão cabeças-de-série será revelado esta quarta-feira.	None
His 1996 Chevrolet Tahoe was found abandoned June 25 in a Virginia Beach, Va., parking lot.	His sport utility vehicle was found June 25, abandoned without its license plates in Virginia Beach, Va.	Paraphrase
O líder da Fenprof congratula-se com a decisão do Tribunal Constitucional de declarar a inconstitucionalidade da prova de avaliação docente.	A prova de avaliação docente foi considerada inconstitucional pelo Tribunal Constitucional.	Entailment
Um outro passageiro foi ferido na mão, tendo sido alegadamente mordido pelo jovem quando tentava auxiliá-lo.	Uma pessoa ficou ferida durante o incidente, aparentemente mordida pelo passageiro.	Entailment
All but a small volume of the holding water (approximately 5%) is removed by siphoning and replaced slowly over a 10 to 15 minute period with dilution water.	A small amount of water is removed by taking and replacing it slowly within 10-15 minutes with water dilution	Entailment
During the fiscal second quarter, Cisco earned $991 million, or 14 cents a share, on sales of $4.7 billion.	Cisco reported earnings of $987 million, or 14 cents a share, on revenue of $4.62 billion for the quarter ending in April.	Paraphrase
While JI has undoubted links with al-Qaeda, the relationship "may be less one of subservience... than of mutual advantage and reciprocal assistance".	While JI has undoubted links with the terrorist group al-Qaeda, the report says the relationship "may be less one of subservience . . . than of mutual advantage and reciprocal assistance".	Paraphrase
We sought to identify practices that were commonly implemented by the agencies within the past 5 years.	We want to identify practices commonly used by agencies in the last 5 years	Entailment
The American troops, who also defend the mayor's compound, have been attacked on two separate occasions.	The American troops from 3-15 infantry, who also defend the compound of the Falluja mayor, have been attacked on two occasions.	Paraphrase
"During the investigation, Bryant was cooperative with investigators and remains cooperative with authorities," the sheriff's office said.	Bryant was "interviewed and was cooperative," said Kim Andree, a spokeswoman for the sheriff's office.	Paraphrase
Yale spokesman Tom Conroy said the university was prepared to keep the campus running with temporary workers and managers doing extra work.	Yale spokesman Tom Conroy said the university planned to keep the campus running with managers and temporary workers performing union workers' jobs.	Paraphrase
Federal agents said Friday they are investigating the theft of 1,100 pounds of an explosive chemical from construction companies in Colorado and California in the past week.	Federal investigators are looking for possible connections between the theft of 1,100 pounds of an explosive chemical from construction companies in Colorado and California in the past week.	Paraphrase
Xerox shares closed at $11.45, up 2 cents on the New York Stock Exchange.	Xerox shares rose 2 cents to close at $11.45 on the New York Stock Exchange.	Paraphrase
However, given that a large portion of business saving is used to replace capital goods worn out or used in the production process, business saving net of depreciation is a smaller share-about 47 percent-of net national saving.	Business' capital goods depreciate and have to be replaced.	Entailment
CIA Director George Tenet said the two men were "defined by dedication and courage."	"[They] were defined by dedication and courage," said the CIA's director George Tenet.	Paraphrase
Programa de governo não integra medidas do PS mas deixa cair plafonamento das pensões.	O plafonamento das pensões sai do programa do Governo.	Entailment
Mais tarde, Lobatón quase fez um golaço em chute de longe.	Vargas arriscou um chute de longe e marcou um golaço.	None
SALEM - It's a traumatic prospect for any domestic violence  having to do battle with her batterer in court.	Someone that has experienced physical abuse will have trouble facing the attacker in court.	Entailment
The A920 comes with a printer, scanner, and copier for $89.	Dell's Personal All-in-One A920 is an entry-level device that combines printer, scanner and copier functions for $89.	Paraphrase
Esse ajuste cambial não fomos nós que provocamos, nós sofremos o efeito dele.	Para a presidente, o ajuste fiscal do governo também não é estrutural.	None
Disponível nos principais retalhistas de Portugal a partir de amanhã, o Surface Pro 4 vai ter preços a partir de 1.029€.	A partir de amanhã, o Surface Pro 4 vai estar disponível nas lojas em Portugal.	Entailment
Foi registrado a 68 km a oeste da cidade de Namche Bazar, perto do Monte Everest.	O último sismo foi sentido em Namche Bazar, perto do Monte Everest.	None
The test was conducted by the University of California at Los Angeles and Riverside and was paid $450,000 from the ARB.	The test, conducted by UCLA and UC Riverside, was paid for with $450,000 from the ARB.	Paraphrase
Estudantes de Santa Catarina, Goiás, Tocantins, Rio de Janeiro e São Paulo estão vindo participar.	Em Santa Catarina, não há surpresa pelo posicionamento da bancada.	None
According to the 2000 Census, Long Beach's Hispanic or Latino population was listed at 35.8 percent.	According to the Census Bureau, the Hispanic population increased by 9.8 percent from the April 2000 census figures.	Paraphrase
The organization has already lost some staff through attrition and has turned away some cases, she said.	Some staff were lost.	Entailment
Based on the data and the testimony submitted, as well as on evidence	This was based on the data, testimony and evidence submitted.	Entailment
Este foi o segundo acidente mortal em dois dias, na sequência de demonstrações aéreas na Europa.	Este foi o segundo acidente fatal em dois dias durante apresentações aéreas na Europa.	Paraphrase
Nove assembleias ocorreram desde o início das paralisações, todas aprovaram a continuidade da greve.	Desde a data inicial, ocorreram nove assembleias que aprovaram a continuidade da paralisação.	Paraphrase
A renderização de materiais parece ter sido um ponto importante no desenvolvimento do jogo na PS3.	O efeito está na PS4 mas é menos pronunciado devido a mudanças na superfície dos materiais.	None
Part of the reason for the Congress's increased reliance on GAO in recent years is the result of our ability to add unique value to the products and service we provide.	GAO's unique perspectives in the handling of products and services has contributed to the reasons why Congress has been increasingly relying on the organization.	Entailment
The little girl, the daughter of a teller, was taken to the bank after a doctor's appointment.	Earlier in the evening, the mother, whom authorities did not identify, had brought her daughter to the bank after a doctor's appointment.	Paraphrase
For example, with regard to design, information over time-the longitudinal feature of the	Information over time can be considered in relation to design.	Entailment
In other transfer papers on program evaluation, we have emphasized the importance of validity.	The importance of validity was emphasized in other transfer papers.	Entailment
A Parada do Orgulho LGBT de São Paulo é considerada uma das maiores do mundo.	Neste domingo, aconteceu em São Paulo a 19ª Parada do Orgulho LGBT.	None
Agora seguramente vou vê-lo e pedir-lhe perdão como se deve fazer.	Agora vou vê-lo e lhe pedirei perdão.	Entailment
Both the agency's classification review and comments on the product must be completed within the time frame identified in GAO's letter transmitting the draft product.	Both the agency's classification review and comments on the product must be completed within the time frame.	Entailment
Há mais três confirmações para o Vodafone Mexefest: Márcia, Petite Noir e Benjamim.	Acabam de ser confirmados mais três nomes para o Vodafone Mexefest.	Entailment
No Real Madrid ganhei a Supertaça, ganhei a Taça e fui às meias-finais da Champions.	No Real Madrid ganhei a Supertaça e joguei a meia-final da Liga dos Campeões.	Entailment
No entanto, a KIC 8462852 emitia um padrão luminoso inédito.	Mas a KIC 8462852 emitia um padrão de luz jamais visto.	Paraphrase
And anecdotes usually don't show the reasons for a situation, and thus are of limited value in suggesting solutions.	The anecdotes are not always helpful for solutions.	Entailment
We actually hope to expand our services as a result of the merger, she said.	She said that they expect to expand their services because of the merger.	Entailment
Williams was White, and four of his victims were Black; the fifth was White.	Four of those killed by Williams were black; the other was white.	Paraphrase
Responding to speculation that she was ready to retire, Justice Sandra Day O'Connor indicated today that she would serve out the next term of the Supreme Court.	Justice Sandra Day O'Connor said today that she would serve out the next term of the Supreme Court, dismissing speculation that she was ready to retire.	Paraphrase
No ano, a alta de preços de energia chega a 44,75%.	No ano, o IPCA-15 acumula alta de 6,9%.	None
Isaac's case was one of government screw-ups, Morris said, recounting how Social Security shuffled his file from New Jersey to Baltimore and then Philadelphia before finally tracking it down.	The government messed up in the Isaac's case.	Entailment
Rep. Louise Slaughter, D-N.Y., declared, "The Congress of the United States has never -- ever -- outlawed a medical procedure.	"The Congress of the United States has never — ever — outlawed a medical procedure," said Rep. Louise McIntosh Slaughter (D-N.Y.).	Paraphrase
Mills affected by Thursdays announcement are sawmills in Grande Cache, Alta., Carrot River, Sask., Chapleau, Ont., and Aberdeen, Wash.	They are located in Grande Cache, Alta., Carrot River, Sask., Chapleau, Ont., and Aberdeen, Wash.	Paraphrase
We're trying to liberalize the [federal] Stafford and Perkins loan programs, he said.	He said they are trying to liberalize the programs.	Entailment
In the civil agencies, payment information (payee and amount) traditionally was entered on Treasury Form 1166, Voucher and Schedule of Payments.	Treasury Form 116 is where payment information was traditionally entered in civil agencies.	Entailment
Are the methods of data collection presented?	Someone is asking about methods of data protection.	Entailment
A ruling last week by U.S. District Judge Lee R. West in Oklahoma City that the FTC lacked authority to run the registry triggered a whirlwind of activity in Washington.	The legislation came after U.S. District Judge Lee R. West in Oklahoma City ruled last week that the FTC lacked authority to run the registry.	Paraphrase
The shooting happened at 5:30 a.m. in the living room of the home the extended family shared on the city's westside.	The shootings happened at 5:30 a.m. in the living room of the home that the extended family shared on Gary's west side.	Paraphrase
Kerry Kennedy Cuomo and Andrew Cuomo have been married 13 years.	Andrew Cuomo and Kerry Kennedy were married 13 years.	Paraphrase
Daniel Craig volta como James Bond pela quarta vez.	A cervejaria Heineken divulgou seu novo comercial estrelado por Daniel Craig como James Bond.	None
This chapter focuses on levels of commitment and support for a planned acquisition by senior managers and users, two key stakeholders in an acquisition.	The chapter focuses on levels of commitment and support by senior managers and users.	Entailment
Objectivo será combinar tecnologias e competências das duas empresas para a base de uma nova unidade denominada Watson IoT.	A combinação da tecnologia com as competências das duas empresas contribuirá para a criação da nova unidade Watson IoT.	Paraphrase
Os consumidores utilizam a novidade para dezenas de atividades, seja na hora de trabalhar, descansar, fazer atividades físicas ou até dormir.	Agora foi revelado mais uma novidade, especialmente para quem faz atividades físicas.	None
